t,dim_1
702,8.021090735274623e-5
703,8.021061048201887e-5
704,8.021031460823808e-5
705,8.021001973139648e-5
706,8.020972585148668e-5
707,8.02094329685014e-5
708,8.02091410824332e-5
709,8.020885019327489e-5
710,8.02085603010191e-5
711,8.020827140565869e-5
712,8.020798350718638e-5
713,8.02076966055949e-5
714,8.020741070087721e-5
715,8.02071257930261e-5
716,8.02068418820345e-5
717,8.02065589678952e-5
718,8.02062770506012e-5
719,8.020599613014547e-5
720,8.020571620652095e-5
721,8.020543727972066e-5
722,8.020515934973761e-5
723,8.02048824165649e-5
724,8.020460648019552e-5
725,8.020433154062261e-5
726,8.020405759783932e-5
727,8.020378465183881e-5
728,8.02035127026142e-5
729,8.020324175015874e-5
730,8.020297179446566e-5
731,8.020270283552818e-5
732,8.02024348733396e-5
733,8.020216790789321e-5
734,8.020190193918233e-5
735,8.020163696720031e-5
736,8.020137299194053e-5
737,8.020111001339638e-5
738,8.020084803156135e-5
739,8.02005870464288e-5
740,8.020032705799223e-5
741,8.020006806624516e-5
742,8.019981007118112e-5
743,8.019955307279365e-5
744,8.019929707107635e-5
745,8.019904206602281e-5
746,8.019878805762655e-5
747,8.01985350458814e-5
748,8.019828303078085e-5
749,8.019803201231876e-5
750,8.01977819904888e-5
751,8.019753296528468e-5
752,8.019728493670019e-5
753,8.019703790472915e-5
754,8.019679186936538e-5
755,8.019654683060275e-5
756,8.019630278843506e-5
757,8.019605974285628e-5
758,8.019581769386031e-5
759,8.01955766414411e-5
760,8.019533658559265e-5
761,8.019509752630886e-5
762,8.019485946358388e-5
763,8.019462239741168e-5
764,8.019438632778641e-5
765,8.01941512547021e-5
766,8.019391717815287e-5
767,8.01936840981329e-5
768,8.019345201463634e-5
769,8.019322092765743e-5
770,8.019299083719034e-5
771,8.019276174322932e-5
772,8.019253364576871e-5
773,8.019230654480273e-5
774,8.019208044032573e-5
775,8.019185533233204e-5
776,8.01916312208161e-5
777,8.019140810577219e-5
778,8.019118598719486e-5
779,8.019096486507849e-5
780,8.019074473941753e-5
781,8.019052561020651e-5
782,8.019030747744e-5
783,8.019009034111243e-5
784,8.018987420121843e-5
785,8.018965905775265e-5
786,8.018944491070966e-5
787,8.018923176008409e-5
788,8.018901960587063e-5
789,8.018880844806401e-5
790,8.018859828665887e-5
791,8.018838912165003e-5
792,8.018818095303225e-5
793,8.018797378080028e-5
794,8.018776760494899e-5
795,8.018756242547324e-5
796,8.018735824236786e-5
797,8.01871550556277e-5
798,8.018695286524777e-5
799,8.0186751671223e-5
800,8.018655147354833e-5
801,8.018635227221875e-5
802,8.018615406722932e-5
803,8.018595685857503e-5
804,8.018576064625097e-5
805,8.018556543025225e-5
806,8.0185371210574e-5
807,8.01851779872113e-5
808,8.018498576015943e-5
809,8.01847945294135e-5
810,8.018460429496876e-5
811,8.018441505682045e-5
812,8.018422681496385e-5
813,8.01840395693942e-5
814,8.018385332010689e-5
815,8.018366806709718e-5
816,8.018348381036054e-5
817,8.018330054989228e-5
818,8.018311828568785e-5
819,8.018293701774273e-5
820,8.018275674605235e-5
821,8.01825774706122e-5
822,8.018239919141778e-5
823,8.018222190846469e-5
824,8.018204562174842e-5
825,8.018187033126464e-5
826,8.018169603700892e-5
827,8.018152273897693e-5
828,8.018135043716432e-5
829,8.018117913156684e-5
830,8.018100882218008e-5
831,8.01808395089999e-5
832,8.0180671192022e-5
833,8.018050387124224e-5
834,8.018033754665634e-5
835,8.018017221826025e-5
836,8.018000788604976e-5
837,8.017984455002077e-5
838,8.017968221016925e-5
839,8.017952086649104e-5
840,8.017936051898221e-5
841,8.017920116763868e-5
842,8.017904281245652e-5
843,8.017888545343176e-5
844,8.017872909056042e-5
845,8.017857372383865e-5
846,8.017841935326257e-5
847,8.017826597882828e-5
848,8.017811360053197e-5
849,8.017796221836975e-5
850,8.017781183233797e-5
851,8.017766244243275e-5
852,8.017751404865044e-5
853,8.01773666509873e-5
854,8.017722024943963e-5
855,8.017707484400379e-5
856,8.017693043467616e-5
857,8.017678702145311e-5
858,8.017664460433101e-5
859,8.01765031833064e-5
860,8.017636275837569e-5
861,8.01762233295353e-5
862,8.017608489678186e-5
863,8.017594746011187e-5
864,8.017581101952188e-5
865,8.017567557500848e-5
866,8.017554112656826e-5
867,8.01754076741979e-5
868,8.017527521789404e-5
869,8.017514375765339e-5
870,8.017501329347264e-5
871,8.017488382534857e-5
872,8.017475535327787e-5
873,8.01746278772574e-5
874,8.017450139728396e-5
875,8.017437591335435e-5
876,8.017425142546547e-5
877,8.017412793361419e-5
878,8.017400543779742e-5
879,8.017388393801212e-5
880,8.017376343425526e-5
881,8.017364392652376e-5
882,8.01735254148147e-5
883,8.017340789912507e-5
884,8.017329137945197e-5
885,8.017317585579247e-5
886,8.017306132814365e-5
887,8.017294779650273e-5
888,8.01728352608668e-5
889,8.017272372123305e-5
890,8.017261317759872e-5
891,8.017250362996106e-5
892,8.01723950783173e-5
893,8.017228752266474e-5
894,8.017218096300069e-5
895,8.017207539932249e-5
896,8.017197083162745e-5
897,8.0171867259913e-5
898,8.01717646841766e-5
899,8.017166310441562e-5
900,8.017156252062752e-5
901,8.017146293280985e-5
902,8.017136434096003e-5
903,8.017126674507564e-5
904,8.017117014515421e-5
905,8.017107454119338e-5
906,8.01709799331907e-5
907,8.017088632114385e-5
908,8.01707937050505e-5
909,8.017070208490833e-5
910,8.017061146071499e-5
911,8.017052183246827e-5
912,8.017043320016588e-5
913,8.017034556380565e-5
914,8.017025892338543e-5
915,8.017017327890293e-5
916,8.017008863035612e-5
917,8.017000497774285e-5
918,8.0169922321061e-5
919,8.016984066030853e-5
920,8.016975999548339e-5
921,8.016968032658359e-5
922,8.016960165360706e-5
923,8.016952397655195e-5
924,8.016944729541623e-5
925,8.016937161019803e-5
926,8.016929692089542e-5
927,8.016922322750657e-5
928,8.016915053002961e-5
929,8.016907882846273e-5
930,8.016900812280414e-5
931,8.016893841305204e-5
932,8.016886969920478e-5
933,8.016880198126057e-5
934,8.016873525921768e-5
935,8.016866953307454e-5
936,8.016860480282941e-5
937,8.016854106848075e-5
938,8.01684783300269e-5
939,8.016841658746638e-5
940,8.016835584079756e-5
941,8.016829609001895e-5
942,8.016823733512908e-5
943,8.016817957612647e-5
944,8.016812281300964e-5
945,8.016806704577721e-5
946,8.016801227442777e-5
947,8.016795849895995e-5
948,8.016790571937243e-5
949,8.016785393566383e-5
950,8.016780314783294e-5
951,8.016775335587843e-5
952,8.01677045597991e-5
953,8.016765675959364e-5
954,8.016760995526096e-5
955,8.016756414679983e-5
956,8.016751933420911e-5
957,8.016747551748771e-5
958,8.016743269663454e-5
959,8.016739087164848e-5
960,8.016735004252847e-5
961,8.01673102092736e-5
962,8.016727137188274e-5
963,8.016723353035503e-5
964,8.016719668468944e-5
