t,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,σ2_1,σ2_2,σ2_3,σ2_4,σ2_5,σ2_6
517,1895.5233477794889,93.98710574571327,2.069666641706738,-0.23655143049159863,-0.019295496134619547,-0.0005543105663237052,0.014249717038875329,0.02103591019618445,0.1215674890819404,0.012111382058990766,1.568169808048612e-5,7.667328184908245e-8
518,1904.9323671813297,94.19288643534419,2.037804961270158,-0.23848375346316614,-0.01935092671122575,-0.0005539583198148301,0.014249717038874772,0.021035910191066154,0.12156747065579868,0.012104014022351594,1.5681220841454096e-5,7.655658861249482e-8
519,1914.361805023727,94.39547128587773,2.001146894890799,-0.24042161771411186,-0.019406321883410613,-0.0005536061303113638,0.014249717038874215,0.021035910185937926,0.12156745219428275,0.012096631739143982,1.568080444897912e-5,7.644117633566693e-8
520,1923.81131773656,94.59438063112007,1.960619994534318,-0.24236501969860266,-0.019461681658926238,-0.0005532540156934917,0.014249717038873667,0.02103591018080026,0.12156743369884268,0.012089235789654804,1.5680446244324206e-5,7.632703603237102e-8
521,1933.280518425579,94.78922755997469,1.9169065421254496,-0.24431395587059007,-0.019517006047856108,-0.0005529019936072827,0.014249717038873106,0.0210359101756534,0.12156741517092447,0.012081826752641167,1.568014360748355e-5,7.621415873367598e-8
522,1942.7689849141989,94.97969338966084,1.8704779230804143,-0.24626842268842924,-0.019572295062544848,-0.0005525500814133513,0.014249717038872536,0.021035910170497822,0.12156739661197041,0.012074405205253453,1.5679893956896678e-5,7.610253548833678e-8
523,1952.2762655199567,95.16550657554158,1.8225156282217858,-0.24822841661206724,-0.019627548717477974,-0.0005521982961454908,0.01424971703887197,0.021035910165333984,0.12156737802341859,0.012066971722959646,1.5679694749162456e-5,7.599215736317938e-8
524,1961.8018873019507,95.34651372280703,1.773968750981467,-0.25019393410435625,-0.019682767029078098,-0.0005518466544708864,0.014249717038871398,0.021035910160162204,0.12156735940670232,0.012059526879470995,1.5679543478754242e-5,7.58830154434832e-8
525,1971.3453667356252,95.52265634569453,1.724278146038442,-0.252164971631371,-0.01973795001544314,-0.0005514951726854288,0.01424971703887085,0.021035910154982913,0.12156734076325074,0.012052071246668928,1.567943767773463e-5,7.57751008333586e-8
526,1980.9062116506936,95.69382004374663,1.6728917978290008,-0.254141525659653,-0.019793097696490514,-0.0005511438666994555,0.014249717038870298,0.02103591014979657,0.12156732209448795,0.012044605394533371,1.567937491547131e-5,7.566840465612135e-8
527,1990.483915674909,95.85983521498663,1.6197593429804187,-0.25612359265645057,-0.019848210093975648,-0.0005507927520166299,0.014249717038869764,0.02103591014460348,0.121567303401833,0.012037129891072328,1.567935279835233e-5,7.556291805466203e-8
528,2000.0779552232061,96.02052722121641,1.5650006715785587,-0.2581111690916239,-0.01990328723151792,-0.000550441843709429,0.01424971703886921,0.021035910139404035,0.12156728468669996,0.012029645302252555,1.5679368969502446e-5,7.545863219181277e-8
529,2009.687789847064,96.17573341325533,1.5086076160679074,-0.2601042514387044,-0.01995832913436076,-0.0005500911564015246,0.01424971703886868,0.021035910134198692,0.12156726595049772,0.01202215219193186,1.5679421108500396e-5,7.535553825071027e-8
530,2019.3128627966325,96.32529032475242,1.4518167161131454,-0.26210283617343705,-0.02001333582947499,-0.0005497407042368467,0.014249717038868133,0.021035910128987832,0.12156724719462952,0.012014651121792326,1.5679506931095046e-5,7.525362743515316e-8
531,2028.9526071490543,96.46915814380299,1.397029340731784,-0.2641069197771724,-0.020068307345226154,-0.0005493905008728701,0.014249717038867597,0.02103591012377186,0.12156722842049314,0.012007142651274972,1.5679624188923408e-5,7.515289096995738e-8
532,2038.6064640115371,96.60753719544986,1.3462738224540876,-0.2661164987392703,-0.020123243711050613,-0.0005490405594897641,0.014249717038867037,0.021035910118550983,0.12156720962948002,0.011999627337515598,1.567977066922862e-5,7.50533201013071e-8
533,2048.27390466201,96.74083063836964,1.2999693189974941,-0.2681315695541904,-0.020178144956968038,-0.0005486908928517771,0.014249717038866492,0.02103591011332584,0.12156719082297658,0.011992105735281788,1.567994419457801e-5,7.495490609710132e-8
534,2057.954442796469,96.86948354677189,1.2566153454447324,-0.2701521287165231,-0.020233011113678635,-0.000548341513365068,0.014249717038865945,0.021035910108096648,0.12156717200236232,0.011984578396911243,1.56801426225821e-5,7.485764024729684e-8
535,2067.64762911452,96.99379094624159,1.2140530308361452,-0.272178172722349,-0.020287842212499258,-0.0005479924331527142,0.01424971703886542,0.02103591010286387,0.12156715316901089,0.011977045872251357,1.5680363845614494e-5,7.476151386424814e-8
536,2077.3530330262765,97.11383197493458,1.1710124066598904,-0.2742096980674713,-0.02034263828591495,-0.0005476436640817978,0.014249717038864882,0.02103591009762782,0.12156713432428942,0.011969508708599703,1.568060579053109e-5,7.466651828304143e-8
537,2087.07022549899,97.22955877449674,1.1272423066358135,-0.2762467012504402,-0.02039739936750248,-0.0005472952177700799,0.014249717038864337,0.021035910092388893,0.12156711546955844,0.011961967450646118,1.5680866418390967e-5,7.457264486182698e-8
538,2096.79877146049,97.34089837004062,1.0822048241425337,-0.27828917877272763,-0.0204521254921378,-0.00054694710557794,0.014249717038863822,0.021035910087147548,0.12156709660617208,0.011954422640415716,1.5681143724177346e-5,7.447988498214654e-8
539,2106.5382258513832,97.44772399617551,1.0344081906710723,-0.2803371271382686,-0.020506816696010264,-0.0005465993385999546,0.014249717038863309,0.021035910081904086,0.1215670777354775,0.011946874817213043,1.5681435736519066e-5,7.438823004925668e-8
540,2116.2881234820024,97.5497597102702,0.9822749424608145,-0.28239054284913045,-0.02056147301692321,-0.0005462519276303963,0.01424971703886278,0.021035910076658924,0.12156705885881477,0.011939324517567532,1.568174051741293e-5,7.429767149244877e-8
541,2126.04796367615,97.64657182343323,0.9250582720600632,-0.2844494224134255,-0.02061609449424744,-0.0005459048831146865,0.014249717038862257,0.02103591007141239,0.12156703997751696,0.011931772275180037,1.568205616194615e-5,7.420820076536473e-8
542,2135.8171986558227,97.73765196603766,0.8625609241240424,-0.2865137623400651,-0.020670681169275035,-0.0005455582150754862,0.014249717038861728,0.02103591006616481,0.12156702109290975,0.011924218620870538,1.568238079802005e-5,7.411980934630918e-8
543,2145.595228817264,97.82247204318348,0.7944189887941182,-0.28858355914227035,-0.020725233085101595,-0.0005452119330313176,0.014249717038861225,0.021035910060916676,0.12156700220631184,0.011916664082526894,1.5682712586073668e-5,7.403248873855734e-8
544,2155.3813999347994,97.9004675685324,0.7208252109483378,-0.2906588093373294,-0.020779750286639222,-0.0005448660459152001,0.014249717038860701,0.02103591005566821,0.1215669833190339,0.011909109185054802,1.5683049718808716e-5,7.394623047065953e-8
