n_heads,status,theta_real,empirical_rate,prior_b,iterations,prior_a,execution_time,posterior_mean,converged,posterior_std,n_samples
59.0,success,0.3,0.295,4.0,10,4.0,0.0031180381774902344,0.30288461538461536,true,0.03178467666288669,200
101.0,success,0.5,0.505,4.0,10,4.0,0.0032739639282226562,0.5048076923076923,true,0.034584124334084,200
141.0,success,0.7,0.705,4.0,10,4.0,0.003116130828857422,0.6971153846153846,true,0.03178467666288669,200
162.0,success,0.8,0.81,4.0,10,4.0,0.003720998764038086,0.7980769230769231,true,0.027767847222519383,200
59.0,success,0.3,0.295,4.0,10,8.0,0.0032088756561279297,0.3160377358490566,true,0.031856329871841185,200
101.0,success,0.5,0.505,4.0,10,8.0,0.0031239986419677734,0.5141509433962265,true,0.034245711893655696,200
141.0,success,0.7,0.705,4.0,10,8.0,0.0034029483795166016,0.7028301886792453,true,0.03131394224872579,200
162.0,success,0.8,0.81,4.0,10,8.0,0.0030601024627685547,0.8018867924528302,true,0.027310109612635886,200
141.0,success,0.3,0.282,4.0,10,1.0,0.008082151412963867,0.2811881188118812,true,0.019986228492380385,500
239.0,success,0.5,0.478,4.0,10,1.0,0.008009195327758789,0.4752475247524752,true,0.022200457343556784,500
348.0,success,0.7,0.696,4.0,10,1.0,0.007730007171630859,0.691089108910891,true,0.0205403753778582,500
401.0,success,0.8,0.802,4.0,10,1.0,0.007769107818603516,0.7960396039603961,true,0.01791286291689274,500
141.0,success,0.3,0.282,4.0,10,2.0,0.008054971694946289,0.2826086956521739,true,0.019997091543647823,500
