t,dim_1
506,4.5287996933202415e-5
507,4.528750568735847e-5
508,4.52870154395219e-5
509,4.528652618967092e-5
510,4.528603793778376e-5
511,4.528555068383876e-5
512,4.5285064427814244e-5
513,4.528457916968857e-5
514,4.5284094909440233e-5
515,4.5283611647047674e-5
516,4.5283129382489416e-5
517,4.5282648115744034e-5
518,4.528216784679014e-5
519,4.5281688575606367e-5
520,4.528121030217144e-5
521,4.5280733026464106e-5
522,4.5280256748463114e-5
523,4.527978146814733e-5
524,4.527930718549562e-5
525,4.527883390048691e-5
526,4.527836161310015e-5
527,4.527789032331436e-5
528,4.527742003110863e-5
529,4.527695073646199e-5
530,4.527648243935363e-5
531,4.52760151397627e-5
532,4.527554883766847e-5
533,4.527508353305019e-5
534,4.527461922588718e-5
535,4.527415591615881e-5
536,4.527369360384454e-5
537,4.527323228892371e-5
538,4.527277197137589e-5
539,4.527231265118063e-5
540,4.527185432831751e-5
541,4.527139700276612e-5
542,4.52709406745062e-5
543,4.527048534351739e-5
544,4.5270031009779514e-5
545,4.5269577673272346e-5
546,4.526912533397575e-5
547,4.526867399186964e-5
548,4.526822364693393e-5
549,4.526777429914863e-5
550,4.526732594849372e-5
551,4.5266878594949334e-5
552,4.5266432238495555e-5
553,4.5265986879112557e-5
554,4.526554251678053e-5
555,4.526509915147973e-5
556,4.5264656783190475e-5
557,4.5264215411893075e-5
558,4.526377503756794e-5
559,4.526333566019549e-5
560,4.526289727975617e-5
561,4.5262459896230515e-5
562,4.526202350959909e-5
563,4.52615881198425e-5
564,4.52611537269414e-5
565,4.526072033087646e-5
566,4.526028793162846e-5
567,4.525985652917815e-5
568,4.525942612350635e-5
569,4.5258996714593936e-5
570,4.525856830242183e-5
571,4.525814088697101e-5
572,4.5257714468222456e-5
573,4.525728904615721e-5
574,4.525686462075637e-5
575,4.525644119200108e-5
576,4.525601875987254e-5
577,4.5255597324351954e-5
578,4.525517688542058e-5
579,4.525475744305975e-5
580,4.5254338997250814e-5
581,4.525392154797515e-5
582,4.525350509521426e-5
583,4.52530896389496e-5
584,4.525267517916271e-5
585,4.525226171583518e-5
586,4.525184924894861e-5
587,4.525143777848468e-5
588,4.525102730442511e-5
589,4.5250617826751655e-5
590,4.5250209345446105e-5
591,4.5249801860490327e-5
592,4.524939537186618e-5
593,4.524898987955562e-5
594,4.524858538354062e-5
595,4.524818188380322e-5
596,4.5247779380325464e-5
597,4.524737787308945e-5
598,4.524697736207736e-5
599,4.52465778472714e-5
600,4.52461793286538e-5
601,4.524578180620685e-5
602,4.524538527991286e-5
603,4.524498974975422e-5
604,4.524459521571337e-5
605,4.524420167777275e-5
606,4.5243809135914886e-5
607,4.524341759012233e-5
608,4.524302704037769e-5
609,4.5242637486663567e-5
610,4.5242248928962666e-5
611,4.524186136725775e-5
612,4.524147480153158e-5
613,4.5241089231766943e-5
614,4.524070465794676e-5
615,4.524032108005388e-5
616,4.523993849807129e-5
617,4.523955691198199e-5
618,4.5239176321768965e-5
619,4.523879672741538e-5
620,4.523841812890432e-5
621,4.523804052621895e-5
622,4.523766391934252e-5
623,4.523728830825827e-5
624,4.5236913692949485e-5
625,4.523654007339957e-5
626,4.5236167449591884e-5
627,4.5235795821509864e-5
628,4.523542518913703e-5
629,4.523505555245685e-5
630,4.523468691145292e-5
631,4.523431926610888e-5
632,4.523395261640836e-5
633,4.52335869623351e-5
634,4.5233222303872785e-5
635,4.5232858641005265e-5
636,4.523249597371638e-5
637,4.523213430198998e-5
638,4.523177362581e-5
639,4.5231413945160424e-5
640,4.523105526002525e-5
641,4.5230697570388536e-5
642,4.52303408762344e-5
643,4.5229985177547e-5
644,4.5229630474310485e-5
645,4.5229276766509115e-5
646,4.5228924054127176e-5
647,4.522857233714894e-5
648,4.522822161555885e-5
649,4.5227871889341276e-5
650,4.522752315848068e-5
651,4.5227175422961584e-5
652,4.52268286827685e-5
653,4.522648293788603e-5
654,4.522613818829883e-5
655,4.522579443399156e-5
656,4.5225451674948936e-5
657,4.5225109911155726e-5
658,4.522476914259675e-5
659,4.522442936925688e-5
660,4.522409059112094e-5
661,4.5223752808173957e-5
662,4.522341602040086e-5
663,4.522308022778673e-5
664,4.52227454303166e-5
665,4.5222411627975624e-5
666,4.5222078820748954e-5
667,4.522174700862179e-5
668,4.522141619157942e-5
669,4.522108636960708e-5
670,4.5220757542690155e-5
671,4.522042971081404e-5
672,4.5220102873964105e-5
673,4.5219777032125894e-5
674,4.521945218528489e-5
675,4.5219128333426644e-5
676,4.521880547653679e-5
677,4.521848361460097e-5
678,4.521816274760487e-5
679,4.521784287553423e-5
680,4.521752399837485e-5
681,4.521720611611254e-5
682,4.521688922873317e-5
683,4.5216573336222664e-5
684,4.5216258438566956e-5
685,4.521594453575213e-5
686,4.521563162776416e-5
687,4.521531971458916e-5
688,4.521500879621326e-5
689,4.521469887262268e-5
690,4.5214389943803583e-5
691,4.521408200974228e-5
692,4.521377507042508e-5
693,4.521346912583834e-5
694,4.521316417596844e-5
695,4.5212860220801865e-5
696,4.521255726032509e-5
697,4.521225529452465e-5
698,4.5211954323387104e-5
699,4.5211654346899105e-5
700,4.521135536504731e-5
701,4.521105737781843e-5
702,4.521076038519922e-5
703,4.521046438717647e-5
704,4.5210169383737047e-5
705,4.520987537486784e-5
706,4.520958236055574e-5
707,4.5209290340787776e-5
708,4.520899931555094e-5
709,4.5208709284832295e-5
710,4.5208420248619e-5
711,4.520813220689814e-5
712,4.520784515965695e-5
713,4.520755910688268e-5
714,4.520727404856258e-5
715,4.5206989984684006e-5
716,4.5206706915234345e-5
717,4.520642484020099e-5
718,4.52061437595714e-5
719,4.5205863673333126e-5
720,4.5205584581473674e-5
721,4.520530648398066e-5
722,4.520502938084173e-5
723,4.520475327204455e-5
724,4.520447815757687e-5
725,4.520420403742643e-5
726,4.52039309115811e-5
727,4.520365878002869e-5
728,4.52033876427571e-5
729,4.5203117499754346e-5
730,4.5202848351008364e-5
731,4.520258019650722e-5
732,4.520231303623896e-5
733,4.5202046870191713e-5
734,4.520178169835371e-5
735,4.520151752071312e-5
736,4.52012543372582e-5
737,4.520099214797728e-5
738,4.520073095285865e-5
739,4.520047075189076e-5
740,4.520021154506203e-5
741,4.519995333236092e-5
742,4.519969611377596e-5
743,4.519943988929574e-5
744,4.5199184658908877e-5
745,4.5198930422603996e-5
746,4.5198677180369807e-5
747,4.519842493219505e-5
748,4.519817367806854e-5
749,4.519792341797907e-5
750,4.519767415191556e-5
751,4.519742587986689e-5
752,4.519717860182208e-5
753,4.519693231777007e-5
754,4.519668702769996e-5
755,4.5196442731600864e-5
756,4.519619942946188e-5
757,4.5195957121272216e-5
758,4.519571580702108e-5
759,4.519547548669779e-5
760,4.5195236160291616e-5
761,4.519499782779198e-5
762,4.519476048918825e-5
763,4.519452414446987e-5
764,4.5194288793626384e-5
765,4.519405443664726e-5
766,4.519382107352214e-5
767,4.519358870424065e-5
768,4.519335732879242e-5
769,4.51931269471672e-5
770,4.519289755935473e-5
771,4.5192669165344836e-5
772,4.519244176512735e-5
773,4.519221535869218e-5
774,4.519198994602927e-5
775,4.5191765527128594e-5
776,4.5191542101980155e-5
777,4.5191319670574064e-5
778,4.519109823290039e-5
779,4.519087778894932e-5
780,4.519065833871108e-5
781,4.519043988217585e-5
782,4.519022241933396e-5
783,4.519000595017577e-5
784,4.518979047469163e-5
785,4.518957599287193e-5
786,4.5189362504707184e-5
787,4.51891500101879e-5
788,4.5188938509304636e-5
789,4.518872800204796e-5
790,4.518851848840854e-5
791,4.5188309968377065e-5
792,4.518810244194427e-5
793,4.5187895909100955e-5
794,4.518769036983786e-5
795,4.518748582414591e-5
796,4.5187282272016036e-5
797,4.518707971343915e-5
798,4.5186878148406257e-5
799,4.518667757690841e-5
800,4.518647799893669e-5
801,4.5186279414482204e-5
802,4.518608182353616e-5
803,4.518588522608974e-5
804,4.518568962213427e-5
805,4.518549501166099e-5
806,4.518530139466127e-5
807,4.518510877112653e-5
808,4.5184917141048206e-5
809,4.518472650441772e-5
810,4.518453686122666e-5
811,4.5184348211466585e-5
812,4.518416055512912e-5
813,4.518397389220588e-5
814,4.518378822268861e-5
815,4.518360354656905e-5
816,4.518341986383901e-5
817,4.518323717449028e-5
818,4.5183055478514785e-5
819,4.518287477590442e-5
820,4.518269506665116e-5
821,4.518251635074705e-5
822,4.5182338628184116e-5
823,4.518216189895446e-5
824,4.51819861630502e-5
825,4.518181142046359e-5
826,4.518163767118683e-5
827,4.5181464915212204e-5
828,4.5181293152532014e-5
829,4.518112238313866e-5
830,4.5180952607024524e-5
831,4.518078382418205e-5
832,4.518061603460378e-5
833,4.518044923828223e-5
834,4.5180283435209965e-5
835,4.518011862537966e-5
836,4.5179954808783974e-5
837,4.5179791985415606e-5
838,4.5179630155267325e-5
839,4.517946931833197e-5
840,4.517930947460238e-5
841,4.5179150624071425e-5
842,4.517899276673207e-5
843,4.517883590257731e-5
844,4.517868003160016e-5
845,4.5178525153793654e-5
