t,mu,var,truth,obs,residual,abs_residual,residual2
129.0,4.272895127584497,5.71044018890291,3.27474439137693,-2.019751965198271,-0.9981507362075668,0.9981507362075668,0.9963048921917076
130.0,4.611216981301148,5.7011628222182225,4.201670368266409,-2.1593731005402956,-0.40954661303473827,0.40954661303473827,0.16772842824822565
131.0,3.893595059890022,5.691769969602073,5.0866146437237525,8.038769559846232,1.1930195838337303,1.1930195838337303,1.4232957274108071
132.0,2.9398041492669473,5.684463048656339,5.920735147072245,3.789797900131881,2.9809309978052974,2.9809309978052974,8.885949613676486
133.0,1.3498766454250373,5.687529864225108,6.695697621966024,7.526280835504943,5.3458209765409865,5.3458209765409865,28.577801913225628
134.0,0.6748672665244345,5.686838908196672,7.403758899524487,5.99974699301443,6.728891633000052,6.728891633000052,45.277982608658114
135.0,-1.9078598944919722,5.717996302230633,8.03784426551621,7.01347429472759,9.945704160008182,9.945704160008182,98.91703123840405
136.0,-2.5252290514432096,5.737583434230202,8.591618148564969,13.771922626256604,11.116847200008179,11.116847200008179,123.58429166832968
137.0,-3.2692633947148884,5.749577523484201,9.059547423084627,11.174048997472822,12.328810817799516,12.328810817799516,151.99957618109036
138.0,-4.840658122271227,5.7661737102674495,9.436956694441047,3.788232273916866,14.277614816712275,14.277614816712275,203.85028485440188
139.0,-5.242691595312372,5.773980265525364,9.72007501394976,12.091693041042877,14.962766609262133,14.962766609262133,223.88438460324983
140.0,-6.373297992047537,5.781140830872269,9.906073556948703,11.378473074188447,16.27937154899624,16.27937154899624,265.0179380302683
141.0,-6.825853667283853,5.782306110394745,9.993093887479178,10.757552915173164,16.81894755476303,16.81894755476303,282.8769968498694
142.0,-5.785286764134695,5.7835809795959605,9.980266527163616,9.402097257637555,15.76555329129831,15.76555329129831,248.552670580767
143.0,-5.190293093137584,5.781248632559312,9.867719642746133,13.317394376521847,15.058012735883718,15.058012735883718,226.74374755403625
