t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
141,-147.25778433443,-24.327672201394666,-1.7704070982023932,0.014249717013338457,0.021035901734013956,0.12153721347637084
142,-149.69940359293824,-24.50471291011246,-1.7668667091679298,0.014249717013113006,0.021035901734007885,0.12153721347444686
143,-152.15870921987948,-24.681399579688506,-1.7709618308734933,0.014249717012887865,0.0210359017340014,0.12153721347312404
144,-154.63570398840594,-24.858495761294492,-1.7838760805812113,0.014249717012674867,0.021035901733965454,0.12153721347227828
145,-157.1304729453737,-25.036883367827837,-1.8061840623928556,0.014249717012482843,0.021035901733887037,0.12153721347178707
146,-159.64319220248052,-25.21750177254103,-1.8380255711274036,0.014249717012317316,0.021035901733764933,0.12153721347153913
147,-162.17413250978862,-25.401304327908132,-1.8800913324496893,0.014249717012180764,0.021035901733605974,0.12153721347144043
148,-164.72366339986448,-25.589313459345185,-1.9332629254825393,0.014249717012073084,0.02103590173342137,0.1215372134714172
149,-167.29226106100958,-25.78263975002696,-1.997917205087485,0.014249717011992138,0.021035901733223998,0.12153721347141577
150,-169.88051462155653,-25.982431468717223,-2.0740860877848837,0.014249717011934483,0.021035901733026267,0.12153721347140153
151,-172.48912819486026,-26.189840076078024,-2.160367099427044,0.014249717011895955,0.02103590173283867,0.12153721347135536
152,-175.11891403475076,-26.40587678492443,-2.254503593551334,0.014249717011872198,0.021035901732669015,0.12153721347127064
153,-177.77077423034223,-26.631327143270397,-2.3552196228330398,0.0142497170118591,0.02103590173252246,0.12153721347114979
154,-180.4456830423368,-26.866849104588862,-2.462104171719607,0.014249717011853015,0.02103590173240127,0.1215372134710007
155,-183.14467847575818,-27.11305952058597,-2.575675113523146,0.01424971701185096,0.021035901732305445,0.12153721347083389
156,-185.86886280371667,-27.37062703072985,-2.696693745049634,0.014249717011850661,0.02103590173223316,0.1215372134706608
157,-188.61940897510635,-27.640296404067385,-2.825136270318769,0.014249717011850542,0.021035901732181537,0.12153721347049135
158,-191.39756429459092,-27.92281003015912,-2.9601644803280425,0.014249717011849645,0.02103590173214691,0.12153721347033394
